competition_section,match_number,match_date,date_raw,tournament,round,stadium,home_team,away_team,home_score,away_score,score_note,home_scorers,away_scorers
primera_division,173,1999-05-09,9 de mayo de 1999,Torneo Clausura 1999,12,La Bombonera,Boca Juniors,River Plate,2,1,,"Bermúdez (21), Palermo (55)",Netto (p. 51)
primera_division,174,1999-10-17,17 de octubre de 1999,Torneo Apertura 1999,11,El Monumental,River Plate,Boca Juniors,2,0,,"Aimar (38), Ángel (66)",
primera_division,175,2000-05-14,14 de mayo de 2000,Torneo Clausura 2000,11,La Bombonera,Boca Juniors,River Plate,1,1,,Gmo. Barros Schelotto (38),Cuevas (77)
primera_division,176,2000-10-15,15 de octubre de 2000,Torneo Apertura 2000,10,El Monumental,River Plate,Boca Juniors,1,1,,Saviola (50),Palermo (14)
primera_division,177,2001-04-08,8 de abril de 2001,Torneo Clausura 2001,10,La Bombonera,Boca Juniors,River Plate,3,0,,"Ibarra (66), Riquelme (72), Gmo. Barros Schelotto (p. 82)",
primera_division,178,2001-09-16,16 de septiembre de 2001,Torneo Apertura 2001,06,El Monumental,River Plate,Boca Juniors,1,1,,Cambiasso (17),W. Gaitán (83)
primera_division,179,2002-03-10,10 de marzo de 2002,Torneo Clausura 2002,06,La Bombonera,Boca Juniors,River Plate,0,3,,,"Cambiasso (26), Coudet (41), R. Rojas (88)"
primera_division,180,2002-10-27,27 de octubre de 2002,Torneo Apertura 2002,14,El Monumental,River Plate,Boca Juniors,1,2,,Fuertes (52),"Delgado (42, 78)"
primera_division,181,2003-06-01,1 de junio de 2003,Torneo Clausura 2003,14,La Bombonera,Boca Juniors,River Plate,2,2,,"Gmo. Barros Schelotto (64, 70)","A. D’Alessandro (10), Cavenaghi (p. 39)"
primera_division,182,2003-11-09,9 de noviembre de 2003,Torneo Apertura 2003,14,Monumental,River Plate,Boca Juniors,0,2,,,"S. Battaglia (37), P. Iarley (52)"
primera_division,183,2004-05-16,16 de mayo de 2004,Torneo Clausura 2004,14,La Bombonera,Boca Juniors,River Plate,0,1,,,F. Cavenaghi (37)
primera_division,184,2004-11-07,7 de noviembre de 2004,Torneo Apertura 2004,14,Monumental,River Plate,Boca Juniors,2,0,,"G. Fernández (57), N. Cuevas (89)",
primera_division,185,2005-05-22,22 de mayo de 2005,Torneo Clausura 2005,14,La Bombonera,Boca Juniors,River Plate,2,1,,"Gmo. Barros Schelotto (13), M. Delgado (81)",L. González (46)
primera_division,186,2005-10-16,16 de octubre de 2005,Torneo Apertura 2005,11,Monumental,River Plate,Boca Juniors,0,0,,,
primera_division,187,2006-03-26,26 de marzo de 2006,Torneo Clausura 2006,11,La Bombonera,Boca Juniors,River Plate,1,1,,M. Palermo (p. 88),E. Farías (39)
primera_division,188,2006-10-08,8 de octubre de 2006,Torneo Apertura 2006,10,Monumental,River Plate,Boca Juniors,3,1,,"G. Higuaín (29, 53), E. Farías (68)",R. Palacio (31)
primera_division,189,2007-04-15,15 de abril de 2007,Torneo Clausura 2007,10,La Bombonera,Boca Juniors,River Plate,1,1,,P. Ledesma (1),M. Rosales (49)
primera_division,190,2007-10-07,7 de octubre de 2007,Torneo Apertura 2007,13,Monumental,River Plate,Boca Juniors,2,0,,"R. Falcao (23), A. Ortega (p. 31)",
primera_division,191,2008-05-04,4 de mayo de 2008,Torneo Clausura 2008,13,La Bombonera,Boca Juniors,River Plate,1,0,,S. Battaglia (14),
primera_division,192,2008-10-19,19 de octubre de 2008,Torneo Apertura 2008,10,Monumental,River Plate,Boca Juniors,0,1,,,L. Viatri (60)
primera_division,193,2009-04-19,19 de abril de 2009,Torneo Clausura 2009,10,La Bombonera,Boca Juniors,River Plate,1,1,,M. Palermo (59),M. Gallardo (69)
primera_division,194,2009-10-25,25 de octubre de 2009,Torneo Apertura 2009,10,Monumental,River Plate,Boca Juniors,1,1,,M. Gallardo (29),M. Palermo (63)
primera_division,195,2010-03-25,25 de marzo de 2010,Torneo Clausura 2010,10,La Bombonera,Boca Juniors,River Plate,2,0,,"G. Medel (24, 53)",
primera_division,196,2010-11-16,16 de noviembre de 2010,Torneo Apertura 2010,14,Monumental,River Plate,Boca Juniors,1,0,,J. Maidana (53),
primera_division,197,2011-05-15,15 de mayo de 2011,Torneo Clausura 2011,14,La Bombonera,Boca Juniors,River Plate,2,0,,"J. P. Carrizo (e. c. 28), M. Palermo (30)",
primera_division,198,2012-10-28,28 de octubre de 2012,Torneo Inicial 2012,12,Monumental,River Plate,Boca Juniors,2,2,,"Ponzio (2), Mora (70)","Silva (p. 75), Erviti (90)"
primera_division,199,2013-05-05,5 de mayo de 2013,Torneo Final 2013,12,La Bombonera,Boca Juniors,River Plate,1,1,,Silva (38),Lanzini (1)
primera_division,200,2013-10-06,6 de octubre de 2013,Torneo Inicial 2013,10,El Monumental,River Plate,Boca Juniors,0,1,,,Gigliotti (22)
primera_division,201,2014-03-30,30 de marzo de 2014,Torneo Final 2014,10,La Bombonera,Boca Juniors,River Plate,1,2,,Riquelme (68),"Lanzini (58), Ramiro Funes Mori (87)"
primera_division,202,2014-10-05,5 de octubre de 2014,Torneo Transición 2014,10,El Monumental,River Plate,Boca Juniors,1,1,,Pezzella (78),Magallán (22)
primera_division,203,2015-05-03,3 de mayo de 2015,Campeonato 2015,11,La Bombonera,Boca Juniors,River Plate,2,0,,"Pavón (84), P. Pérez (87)",
primera_division,204,2015-09-13,13 de septiembre de 2015,Campeonato 2015,24,El Monumental,River Plate,Boca Juniors,0,1,,,Lodeiro (18)
primera_division,205,2016-03-06,6 de marzo de 2016,Campeonato 2016,06,El Monumental,River Plate,Boca Juniors,0,0,,,
primera_division,206,2016-04-24,24 de abril de 2016,Campeonato 2016,12,La Bombonera,Boca Juniors,River Plate,0,0,,,
primera_division,207,2016-12-11,11 de diciembre de 2016,Campeonato 2016-17,13,El Monumental,River Plate,Boca Juniors,2,4,,"Driussi (33), Alario (40)","W. Bou (14), C. Tévez (62, 81), A. Centurión (90+4)"
primera_division,208,2017-05-14,14 de mayo de 2017,Campeonato 2016-17,24,La Bombonera,Boca Juniors,River Plate,1,3,,Gago (45),"G. Martínez (14), Alario (23), Driussi (90)"
primera_division,209,2017-11-05,5 de noviembre de 2017,Superliga 2017-18,08,El Monumental,River Plate,Boca Juniors,1,2,,Ponzio (69),"Cardona (42), Nández (73)"
primera_division,210,2018-09-23,23 de septiembre de 2018,Superliga 2018-19,06,La Bombonera,Boca Juniors,River Plate,0,2,,,"G. Martínez (14), I. Scocco (68)"
primera_division,211,2019-09-01,1 de septiembre de 2019,Superliga 2019-20,05,El Monumental,River Plate,Boca Juniors,0,0,,,
primera_division,212,2021-10-03,3 de octubre de 2021,Liga Profesional 2021,14,El Monumental,River Plate,Boca Juniors,2,1,,"J. Álvarez (25, 43)",C. Zambrano (90+3)
primera_division,213,2022-09-11,11 de septiembre de 2022,Liga Profesional 2022,18,La Bombonera,Boca Juniors,River Plate,1,0,,D. Benedetto (65),
primera_division,214,2023-05-07,7 de mayo de 2023,Liga Profesional 2023,15,El Monumental,River Plate,Boca Juniors,1,0,,M. Borja (p. 90+3),
primera_division,215,2024-09-21,21 de septiembre de 2024,Liga Profesional 2024,15,La Bombonera,Boca Juniors,River Plate,0,1,,,M. Lanzini (20)
primera_division,216,2025-04-27,27 de abril de 2025,Torneo Apertura 2025,15,El Monumental,River Plate,Boca Juniors,2,1,,"Mastantuono (25), Driussi (44)",Merentiel (38)
primera_division,217,2025-11-09,9 de noviembre de 2025,Torneo Clausura 2025,15,La Bombonera,Boca Juniors,River Plate,2,0,,"Zeballos (45+1), Merentiel (47)",
primera_division,218,2026-04-19,19 de abril de 2026,Torneo Apertura 2026,15,El Monumental,River Plate,Boca Juniors,0,1,,,L. Paredes (p. 45+6)
copas_nacionales,1,1915-05-02,2 de mayo de 1915,Copa Competencia Jockey Club 1915,Treintaidosavos de final,Cancha de Wilde,Boca Juniors,River Plate,1,1,(t.s.),E. Colla (35),C. García (39)
copas_nacionales,2,1915-05-09,9 de mayo de 1915,Copa Competencia Jockey Club 1915,Treintaidosavos de final,Estadio GEBA,River Plate,Boca Juniors,4,2,,"Chiappe (p. 15), Simmons (22), Penney (48), Fraga (75)","E. Bertolini (5), Ochoa (p. 28)"
copas_nacionales,3,1918-08-30,30 de agosto de 1918,Copa Competencia Jockey Club 1918,Octavos de final,Estadio de Alsina y Colón; (Racing),Boca Juniors,River Plate,0,1,,,Laiolo (17)
copas_nacionales,4,1942-12-01,1 de diciembre de 1942,Copa Adrián Escobar 1942,Semifinal,El Monumental,River Plate,Boca Juniors,0,0,(3-2c.),,
copas_nacionales,5,1946-08-15,15 de agosto de 1946,Copa Competencia Británica 1946,Semifinal,El Gasómetro; (San Lorenzo),Boca Juniors,River Plate,2,0,,"Corcuera (20), G. Pin (57)",
copas_nacionales,6,1993-07-03,3 de julio de 1993,Copa Centenario,Primera fase,La Bombonera,Boca Juniors,River Plate,0,0,,,
